epoch,loss,lr,best_loss,iou_Free,iou_Road,iou_Vehicle,iou_Pedestrian,iou_StaticObst,miou_all,miou_fg
94,0.548250,0.00009973,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
95,0.546341,0.00009958,0.536397,0.7417,0.9746,0.0096,0.0000,0.0000,0.3452,0.2460
96,0.545202,0.00009939,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
97,0.543160,0.00009917,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
98,0.542228,0.00009892,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
99,0.542755,0.00009863,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,0.541143,0.00009831,0.536397,0.6798,0.9750,0.0085,0.0000,0.0000,0.3327,0.2459
101,0.540580,0.00009796,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
102,0.540248,0.00009758,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
103,0.539948,0.00009716,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
104,0.539495,0.00009671,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
105,0.539642,0.00009623,0.536397,0.8694,0.9753,0.0114,0.0000,0.0000,0.3712,0.2467
106,0.539427,0.00009572,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
107,0.539209,0.00009518,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
108,0.538965,0.00009460,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
109,0.538383,0.00009400,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
110,0.537566,0.00009337,0.536397,0.8693,0.9750,0.0114,0.0000,0.0000,0.3711,0.2466
111,0.538295,0.00009271,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
112,0.538064,0.00009201,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
113,0.538216,0.00009129,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
114,0.538032,0.00009055,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
115,0.537419,0.00008977,0.536397,0.8075,0.9753,0.0104,0.0000,0.0000,0.3587,0.2464
116,0.536847,0.00008897,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
117,0.536912,0.00008814,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
118,0.536744,0.00008729,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
119,0.536516,0.00008641,0.536397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
120,0.536598,0.00008550,0.536397,0.8694,0.9752,0.0114,0.0000,0.0000,0.3712,0.2467
121,0.536392,0.00008457,0.536392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
122,0.536457,0.00008362,0.536392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
123,0.536245,0.00008265,0.536245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
124,0.536055,0.00008165,0.536055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
125,0.535703,0.00008063,0.535703,0.8694,0.9751,0.0114,0.0000,0.0000,0.3712,0.2466
126,0.535867,0.00007960,0.535703,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
127,0.536029,0.00007854,0.535703,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
128,0.535849,0.00007746,0.535703,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
129,0.535545,0.00007636,0.535545,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
130,0.535328,0.00007525,0.535328,0.8693,0.9745,0.0114,0.0000,0.0000,0.3710,0.2465
131,0.535325,0.00007412,0.535325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
132,0.535821,0.00007297,0.535325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
133,0.535790,0.00007181,0.535325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
134,0.535524,0.00007063,0.535325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
135,0.535217,0.00006944,0.535217,0.8694,0.9752,0.0114,0.0000,0.0000,0.3712,0.2467
136,0.534809,0.00006824,0.534809,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
137,0.534836,0.00006702,0.534809,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
138,0.535551,0.00006580,0.534809,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
139,0.534980,0.00006456,0.534809,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
140,0.534501,0.00006331,0.534501,0.8694,0.9754,0.0114,0.0000,0.0000,0.3712,0.2467
141,0.534322,0.00006206,0.534322,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
142,0.534283,0.00006079,0.534283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
143,0.534178,0.00005952,0.534178,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
144,0.533918,0.00005824,0.533918,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
145,0.533844,0.00005696,0.533844,0.9938,0.9752,0.0000,0.0000,0.0000,0.3938,0.2438
146,0.533804,0.00005567,0.533804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
147,0.533755,0.00005438,0.533755,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
148,0.533693,0.00005309,0.533693,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
149,0.533761,0.00005180,0.533693,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
150,0.533633,0.00005050,0.533633,0.8694,0.9754,0.0114,0.0000,0.0000,0.3712,0.2467
