epoch,loss,lr,best_loss,iou_Free,iou_Road,iou_Vehicle,iou_Pedestrian,iou_StaticObst,miou_all,miou_fg
86,0.203058,0.00015249,0.202971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
87,0.203575,0.00014912,0.202971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
88,0.203444,0.00014567,0.202971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
89,0.204206,0.00014216,0.202971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
90,0.202528,0.00013858,0.202528,0.9933,0.9748,0.0000,0.0000,0.0000,0.3936,0.2437
91,0.202683,0.00013494,0.202528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
92,0.203654,0.00013125,0.202528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
93,0.202575,0.00012751,0.202528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
94,0.202212,0.00012373,0.202212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
95,0.202348,0.00011991,0.202212,0.9934,0.9749,0.0000,0.0000,0.0000,0.3936,0.2437
96,0.203229,0.00011607,0.202212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
97,0.202571,0.00011219,0.202212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
98,0.202492,0.00010831,0.202212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
99,0.201584,0.00010441,0.201584,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,0.201757,0.00010050,0.201584,0.9934,0.9749,0.0000,0.0000,0.0000,0.3936,0.2437
101,0.201228,0.00009659,0.201228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
102,0.201729,0.00009269,0.201228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
103,0.202105,0.00008881,0.201228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
104,0.201976,0.00008493,0.201228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
105,0.203101,0.00008109,0.201228,0.9934,0.9749,0.0000,0.0000,0.0000,0.3936,0.2437
106,0.201738,0.00007727,0.201228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
107,0.202001,0.00007349,0.201228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
108,0.201959,0.00006975,0.201228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
109,0.201680,0.00006606,0.201228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
110,0.201784,0.00006242,0.201228,0.9933,0.9748,0.0000,0.0000,0.0000,0.3936,0.2437
111,0.201314,0.00005884,0.201228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
112,0.201507,0.00005533,0.201228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
113,0.201848,0.00005188,0.201228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
114,0.201010,0.00004851,0.201010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
115,0.201747,0.00004522,0.201010,0.9933,0.9748,0.0000,0.0000,0.0000,0.3936,0.2437
116,0.200877,0.00004202,0.200877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
117,0.201625,0.00003890,0.200877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
118,0.201006,0.00003588,0.200877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
119,0.200529,0.00003296,0.200529,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
120,0.200980,0.00003014,0.200529,0.9934,0.9748,0.0000,0.0000,0.0000,0.3936,0.2437
121,0.200665,0.00002743,0.200529,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
122,0.200435,0.00002484,0.200435,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
123,0.201716,0.00002236,0.200435,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
124,0.200904,0.00002000,0.200435,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
125,0.200332,0.00001777,0.200332,0.9933,0.9748,0.0000,0.0000,0.0000,0.3936,0.2437
126,0.200423,0.00001566,0.200332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
127,0.201312,0.00001369,0.200332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
128,0.200497,0.00001184,0.200332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
129,0.201138,0.00001014,0.200332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
130,0.200742,0.00000857,0.200332,0.9933,0.9748,0.0000,0.0000,0.0000,0.3936,0.2437
131,0.200870,0.00000715,0.200332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
132,0.200329,0.00000587,0.200329,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
133,0.201106,0.00000474,0.200329,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
134,0.201320,0.00000375,0.200329,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
135,0.200255,0.00000291,0.200255,0.9919,0.9748,0.0237,0.0000,0.0000,0.3981,0.2496
136,0.201497,0.00000223,0.200255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
137,0.200913,0.00000169,0.200255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
138,0.201159,0.00000131,0.200255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
139,0.200498,0.00000108,0.200255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
140,0.201632,0.00020000,0.200255,0.9933,0.9748,0.0000,0.0000,0.0000,0.3936,0.2437
141,0.205509,0.00019998,0.200255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
142,0.205702,0.00019992,0.200255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
143,0.205447,0.00019983,0.200255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
144,0.204004,0.00019969,0.200255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
145,0.202937,0.00019952,0.200255,0.9933,0.9748,0.0000,0.0001,0.0000,0.3937,0.2437
146,0.203224,0.00019931,0.200255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
147,0.202665,0.00019906,0.200255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
148,0.202314,0.00019877,0.200255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
149,0.202013,0.00019845,0.200255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
150,0.203194,0.00019809,0.200255,0.9888,0.9748,0.0511,0.0000,0.0000,0.4030,0.2565
